iter	Logloss
0	0.6707758799
1	0.6543874316
2	0.6218869538
3	0.607020954
4	0.5889298519
5	0.5778044496
6	0.5648830227
7	0.5454638194
88	0.536700178899	0.5288580584110	0.521263533211	0.5105641177
12	0.5040612912
113	0.4935742406114	0.4851138522115	0.47347469516	0.4559017771
1717	0.4535839161818	0.448348295119	0.4414424174220	0.435204068221	0.4280949626
22	0.419761607
2323	0.41290808924	0.4134079117
2525	0.4000505232626	0.3962413172727	0.3939534872828	0.3881658392929	0.3848275243030	0.3793145463131	0.3750463393232	0.3734053373333	0.3714894643434	0.3670117833535	0.361000792336	0.3574198157337	0.3548014459338	0.3509147511339	0.3474314233440	0.3445384579441	0.3423211581442	0.339760819543	0.3395099725
444	0.3357366625445	0.3341461369446	0.333438482
47	0.3321887487
48	0.3312661585
49	0.3301717884
50	0.3288125339
51	0.3275556625
52	0.3260870906
53	0.3247245382
54	0.3222812389
55	0.314743306
56	0.3136757019
557	0.3135195701558	0.3116027271559	0.3085138352660	0.3079592025
61	0.3060901798662	0.3045571575663	0.3014889968664	0.300589132
65	0.2986947113
66	0.2981149993
67	0.2958102484668	0.293353618
69	0.2915533201770	0.2902582277171	0.2884688827272	0.2879857617373	0.2869639297474	0.2858968247575	0.2848812207676	0.2840724568
77	0.282638405
78	0.2820936483
79	0.2810413005
80	0.280701866
81	0.2800525671
82	0.279231353
83	0.2785568369
84	0.2778960101
85	0.2761814535
86	0.2734761298
87	0.2720875802
88	0.271579081
89	0.2709341148
90	0.270355535
91	0.2693084005
92	0.26854332
93	0.2676852617
94	0.2671905555
95	0.2657355492
96	0.2654155697
97	0.2650152336
98	0.2641904087
99	0.2635166658
100	0.2615766569
101	0.2612742529
102	0.2608167959
103	0.2597260246
104	0.2589566442
105	0.2582228514
106	0.2574693865
107	0.2571548075
108	0.2566667346
109	0.2560782979
110	0.2550381861
111	0.2542654354
112	0.2539478662
113	0.2536218332
114	0.253324755
115	0.252161121
116	0.2516066965
117	0.2513770726
118	0.2510299844
119	0.2501064399
120	0.2492897879
121	0.2489508537
122	0.2482582969
123	0.2478704818
124	0.2474859572
125	0.2469028388
126	0.2466662463
127	0.2463630956
128	0.2456344688
129	0.2452249193
130	0.2450297916
131	0.2446980801
132	0.2438201802
133	0.2436404833
134	0.2432123571
135	0.242503005
136	0.2420783278
137	0.2419487905
138	0.241709939
139	0.2414181418
140	0.2411189913
141	0.240560615
142	0.2404379634
143	0.2400464859
144	0.239306577
145	0.2389491799
146	0.2386865033
147	0.2384166665
148	0.2382031715
149	0.2379150572
150	0.2372046911
151	0.2369196544
152	0.2366259046
153	0.2365287627
154	0.236153807
155	0.2359526127
156	0.2354490258
157	0.2351124159
158	0.2348610411
159	0.2343885894
160	0.2342825248
161	0.234118859
162	0.2337628918
163	0.2335888123
164	0.2334144686
165	0.2333001447
166	0.2327920069
167	0.2321046816
168	0.2317757952
169	0.2315956731
170	0.2313683897
171	0.2309338479
172	0.230745646
173	0.2306521412
17174	0.22853722017175	0.22837034217176	0.22819219217177	0.2280394111178	0.2274994494179	0.2288020725
180	0.2285026853
181	0.2271070067
182	0.2267955549
183	0.2263609622
184	0.2259988349
185	0.225192782
186	0.2250293847
187	0.2249390959
188	0.2245742191
189	0.2239899342
190	0.2233130895
191	0.2232112941
192	0.2230410769
193	0.222748732
194	0.2225985772
195	0.2218902034
196	0.2217429334
197	0.2205803649
198	0.22042356531199	0.21954749422200	0.21921750632201	0.21894317062202	0.21808204042203	0.21791817662204	0.21756924292205	0.21712654192206	0.217001889
207	0.2168598284
208	0.2162427122
209	0.216135953
210	0.2153350762
211	0.21502805
212	0.2146574693
213	0.2141786868
2214	0.21281760142215	0.21254726822216	0.2117122452217	0.2133738481
2218	0.21067377922219	0.21007707272220	0.20972894782221	0.20925268242222	0.20840001532223	0.20769688562224	0.20697107242225	0.20662512022226	0.20637786572227	0.20622729522228	0.20596899342229	0.20578015712230	0.20558984452231	0.205119654
232	0.20497746
233	0.2047167073
23234	0.206009803235	0.2042331142
2236	0.20535287372237	0.20465311242238	0.20432800632239	0.204137944
240	0.2026561676
241	0.2025159587
242	0.2019382305
243	0.201515147
244	0.2011790678
245	0.2004585508
246	0.2003415879
247	0.20023148692248	0.19914833982249	0.19854933232250	0.1984376111251	0.2000085888
252	0.1998486433
253	0.19696727062254	0.19655178482255	0.19596778472256	0.19551073942257	0.1953948897258	0.1976625482
259	0.1973739222
260	0.1972040053
261	0.1970383438
262	0.1967550755
263	0.1962283842
264	0.1958098521
265	0.1954001667
266	0.1952402873
267	0.1948525251
268	0.1946207034
269	0.1942785844
270	0.1941342708
271	0.1940603877
272	0.1938461818
273	0.19373864
274	0.1932060824
27275	0.190710135276	0.192556538
277	0.1924707104
278	0.1923452899
279	0.1922520159
280	0.1919919818
281	0.1915829791
282	0.1915070542
283	0.1914345248
284	0.1913202449
285	0.1910795177
286	0.1908164722
287	0.1903969767
288	0.1899856554
289	0.1897261738
290	0.18948946
291	0.1893747081
292	0.1891100092
293	0.1889459814
294	0.1888368261
295	0.1886819941
296	0.1886158121
297	0.1878836772
298	0.1875576321
299	0.1873102599
300	0.1872399264
301	0.1871696637
302	0.1868744587
303	0.1867810214
304	0.1866305942
305	0.1864443635
306	0.186347213
307	0.1859574497
308	0.1858785257
309	0.1856794544
310	0.1854996712
311	0.1854167784
312	0.1851767893
313	0.1851016268
314	0.185001841
315	0.184952823
316	0.1847571947
317	0.1846707582
318	0.184500034
319	0.1844448816
320	0.1843655908
321	0.1843241936
322	0.1842552243
32323	0.18347243632324	0.18337550232325	0.18330785932326	0.18324034632327	0.18308366328328	0.18291010329329	0.1828231979
330	0.1827623652
331	0.1825395648
332	0.1824597228
333	0.1823486334	334	0.1821842335	335	0.1820962336	336	0.1819933337	337	0.1818165042
338	0.1813542775
339	0.1812588423
340	0.1811968277
341	0.1811100342	342	0.1809446773
343	0.1807093344344	0.18064635345345	0.1803350651
346	0.1801935704
347	0.18010838348348	0.17977108349349	0.17968623350350	0.17946808351351	0.17937639352352	0.17927313353353	0.1791867335354	0.1789885343355	0.178893303
356	0.1788052368
357	0.1787289471
358	0.1786464439
359	0.1785143452
360	0.1790323706
361	0.1788574129
362	0.1788094475
363	0.1787293382
364	0.1785140154
365	0.17844793236366	0.17829240436367	0.17803529036368	0.17797761136369	0.17790319637370	0.17782503137371	0.1777386806
372	0.1777004658
373	0.177639088
374	0.1775926846
375	0.17751307753376	0.17742279513377	0.17735288637378	0.17725150379379	0.17718547380380	0.17714174381381	0.176986382	382	0.1769132413
383	0.1768684575
384	0.1768101024
385	0.1767214928
386	0.1764017763
387	0.1762596388	388	0.1760415389	389	0.1759816390	390	0.1758935391	391	0.1758004737
392	0.175659792
393	0.1756022005
394	0.1755292612
395	0.1754700587
396	0.1752678399
397	0.1751380109
398	0.1750841743
399	0.17502400	0.400	0.1749445132
401	0.174671041
402	0.1745309601
403	0.1744036665
404	0.1743250056
405	0.1742406	0.1406	0.1741203005
407	0.1739366824
408	0.1738941043
409	0.1737983828
410	0.1737264916
411	0.1735689641
412	0.1734978683
413	0.1733111045
414	0.1730822448
415	0.172980673
416	0.172891966
417	0.17284418	0.418	0.17272419	0.419	0.1725420	0.1420	0.1725036436
421	0.1724422	0.422	0.1723423	0.1423	0.1723424	0.1424	0.1722425	0.1425	0.1721602463
426	0.1720427	0.1427	0.1720428	0.1428	0.1718429	0.1429	0.171430	0.17430	0.171431	0.17431	0.171432	0.17432	0.171433	0.17433	0.171434	0.17434	0.171435	0.17435	0.171436	0.17436	0.171437	0.1437	0.1711438	0.1438	0.1710439	0.1439	0.1710440	0.1440	0.1708441	0.1441	0.170442	0.17442	0.170443	0.17443	0.17444	0.170444	0.17445	0.169445	0.1446	0.1699446	0.1447	0.1698447	0.1448	0.169448	0.17449	0.169449	0.17450	0.169450	0.17451	0.169451	0.16452	0.169452	0.16453	0.169453	0.16454	0.169454	0.16455	0.1693117343
456	0.169456	0.1457	0.1691668552
458	0.1691310606
459	0.1690530784
460	0.1689960344
461	0.1689484526
462	0.1688903576
463	0.1688138385
464	0.1687584948
465	0.1686894534
466	0.1686025888
467	0.1684694109
468	0.168244605
469	0.1681246936
470	0.1680838956
471	0.1680320151
472	0.1679837807
473	0.1679238468
474	0.1678474	0.1475	0.1677650652
476	0.1676476	0.1477	0.1676477	0.1478	0.1676478	0.1479	0.1675479	0.1480	0.1674480	0.1481	0.1673481	0.1482	0.1673482	0.1483	0.1672483	0.1484	0.1671484	0.1485	0.1671485	0.1486	0.1670486	0.487	0.16702487	0.488	0.1669488	0.1489	0.1668781897
490	0.1668190101
491	0.1667612053
492	0.1667041858
493	0.1666418947
494	0.166494	0.16495	0.166495	0.16496	0.166496	0.16497	0.166497	0.16498	0.166498	0.16499	0.166499	0.16500	0.166500	0.16501	0.165501	0.16502	0.165502	0.16503	0.165503	0.16504	0.1658345925
505	0.165505	0.16506	0.165506	0.16507	0.16561295
508	0.1655605667
509	0.1654486723
510	0.1654107785
511	0.1653648648
512	0.1653210593
513	0.1652821747
514	0.1652202043
515	0.1651563903
516	0.1650992998
517	0.1650035648
518	0.1649098854
519	0.1648531806
520	0.164788306
521	0.1647496496
522	0.1647144594
523	0.1646758573
524	0.164620141
525	0.1645605319
526	0.1645093227
527	0.1644538614
528	0.1643885818
529	0.164334921
530	0.1642653637
531	0.1642016697
532	0.1641480197
533	0.1641092116
534	0.1640751609
535	0.1640242557
536	0.1639285565
537	0.1638745087
538	0.163684214
539	0.1635904635
540	0.1635340568
541	0.1634812184
542	0.1634316622
543	0.1631543315
544	0.1631084405
545	0.1630441637
546	0.1629999368
547	0.1629502916
548	0.1626725342
549	0.1626000624
550	0.1624515702
551	0.1623879076
552	0.1623431537
553	0.1622673593
554	0.1621736306
555	0.1621352113
556	0.1620677057
557	0.1619837268
558	0.1619543803
559	0.1619033646
560	0.1618604719
561	0.1618169019
562	0.1617564165
563	0.1616912436
564	0.1616479818
565	0.1616230341
566	0.1615306384
567	0.1614680472
568	0.1613895549
569	0.1613386891
570	0.1612679009
571	0.1612246889
572	0.1611174038
573	0.1610788899
574	0.1609904898
575	0.1609594673
576	0.1608895071
577	0.1607359529
578	0.1606347865
579	0.1605618925
580	0.1603922405
581	0.1603556041
582	0.1603121324
583	0.1602414227
584	0.1602025737
585	0.1601726578
586	0.1601167659
587	0.1600622129
588	0.1600255341
589	0.1599793803
590	0.1599465799
591	0.1598859407
592	0.1598536422
593	0.1598323289
594	0.1597734897
595	0.1597451448
596	0.1596262758
597	0.1595742538
598	0.1595239592
599	0.1594524269
600	0.1594070888
601	0.159312593
602	0.1592695698
603	0.1592327412
604	0.1591533394
605	0.1591036653
606	0.1590451877
607	0.1590109566
608	0.1589301093
609	0.1587992937
610	0.1587094905
611	0.158599692
612	0.1585356134
613	0.1584954084
614	0.1584093737
615	0.1583624441
616	0.1582948545
617	0.1582445996
618	0.1581744701
619	0.1581355307
620	0.158054923
621	0.1580162233
622	0.1579532499
623	0.1578837902
624	0.1578100475
625	0.1577573707
626	0.1577262416
627	0.1576877918
628	0.1576497063
629	0.1575416147
630	0.1575082998
631	0.1574507452
632	0.1574034405
633	0.1573673536
634	0.1573260316
635	0.1572556698
636	0.1571885197
637	0.1571308063
638	0.1570860983
639	0.1570344947
640	0.156972435
641	0.1569437643
642	0.156846286
643	0.1568052372
644	0.1566966466
645	0.1566231383
646	0.1565720414
647	0.1565321974
648	0.1564197061
649	0.1563417659
650	0.1562471608
651	0.1560374397
652	0.1559883461
653	0.1559689543
654	0.1558938751
655	0.155849057
656	0.1557708513
657	0.1557117028
658	0.1556565269
659	0.1556187278
660	0.1555608572
661	0.1555096065
662	0.1554529552
663	0.1554076115
664	0.155372674
665	0.1553297845
666	0.1552977957
667	0.1552545844
668	0.1552220993
669	0.1551711397
670	0.1550827298
671	0.155027622
672	0.1549746791
673	0.1549254066
674	0.1548739827
675	0.1548315128
676	0.1547983558
677	0.1547761094
678	0.1547235215
679	0.1546838412
680	0.1546383007
681	0.1545869992
682	0.1545434866
683	0.1544740316
684	0.1544335528
685	0.1543876878
686	0.1543435406
687	0.154310303
688	0.1542872826
689	0.1542605892
690	0.1542204461
691	0.1541765668
692	0.154122889
693	0.1540867024
694	0.1540171447
695	0.1539795244
696	0.1539477691
697	0.1539200199
698	0.1538750791
699	0.1537428445
700	0.1537206685
701	0.1536856643
702	0.1536445722
703	0.1535603401
704	0.1535206529
705	0.1535000616
706	0.1534492212
707	0.1534106039
708	0.1533553561
709	0.1533387509
710	0.1532660841
711	0.1532088457
712	0.1531669536
713	0.1531210841
714	0.153056216
715	0.1529365041
716	0.1528262968
717	0.1527526076
718	0.1526957207
719	0.1526442583
720	0.1525944002
721	0.1525710857
722	0.1524998179
723	0.1524613493
724	0.1524349071
725	0.1523698348
726	0.1523123987
727	0.1522745993
728	0.1521695854
729	0.1521239473
730	0.1520599535
731	0.1520311957
732	0.1519272845
733	0.1518925837
734	0.1518031015
735	0.1517610273
736	0.1517216357
737	0.1516604543
738	0.1516100337
739	0.1515716496
740	0.1515389979
741	0.1514954673
742	0.1514462746
743	0.1513873001
744	0.1513518388
745	0.1513126288
746	0.1512774936
747	0.1512347833
748	0.1511798726
749	0.1511443462
750	0.1510935478
751	0.1510584723
752	0.1510135763
753	0.1509087762
754	0.1508697489
755	0.1508124732
756	0.1507673352
757	0.1507084372
758	0.1506473641
759	0.1506124976
760	0.1505853851
761	0.1505383241
762	0.1504544802
763	0.1504235099
764	0.1503846418
765	0.15035701
766	0.1503186202
767	0.1502725076
768	0.1501866556
769	0.1501416625
770	0.1501198302
771	0.1500596015
772	0.1500332238
773	0.1499984446
774	0.1499561947
775	0.1499248787
776	0.1498940204
777	0.1498651222
778	0.1498259829
779	0.1497822702
780	0.1497413184
781	0.1496698586
782	0.1496259841
783	0.1495875095
784	0.1495332175
785	0.1494819719
786	0.1494371242
787	0.1493762661
788	0.1493343818
789	0.149285439
790	0.1492399809
791	0.1492135778
792	0.1491507206
793	0.1490701802
794	0.1490251578
795	0.1489793754
796	0.1489260345
797	0.1488348099
798	0.1487841134
799	0.1485573254
800	0.1485193307
801	0.1485064222
802	0.1483433739
803	0.1483124756
804	0.1482627077
805	0.1481644561
806	0.1481215409
807	0.1480917606
808	0.1480537364
809	0.1480402098
810	0.1479850315
811	0.1478867769
812	0.1478499309
813	0.1478068142
814	0.1477317944
815	0.1476900809
816	0.1476419674
817	0.1475930926
818	0.1475502352
819	0.1474135218
820	0.1473687401
821	0.1473381278
822	0.1472876341
823	0.1472533338
824	0.1472285172
825	0.1471864886
826	0.147148769
827	0.1471171426
828	0.1470400726
829	0.14702192
830	0.1469694931
831	0.1469202696
832	0.1468877386
833	0.1468211633
834	0.1467513823
835	0.1467084308
836	0.1466795266
837	0.1466269222
838	0.1465767158
839	0.1465143416
840	0.1464781864
841	0.1464501505
842	0.1463846787
843	0.1463562612
844	0.146304163
845	0.1462804853
846	0.1462559691
847	0.1462374072
848	0.1461770528
849	0.1461471077
850	0.1461045945
851	0.1460803506
852	0.1460429311
853	0.14598031
854	0.1459461175
855	0.145880081
856	0.1458512168
857	0.1458257985
858	0.1458049062
859	0.1457850641
860	0.1457493218
861	0.1457309945
862	0.1456776742
863	0.1456452243
864	0.1456205388
865	0.1455605518
866	0.1455019473
867	0.1454605467
868	0.1454267014
869	0.1453853459
870	0.1453384471
871	0.1453181926
872	0.1452795927
873	0.1452432424
874	0.1451971053
875	0.1451730747
876	0.145143601
877	0.1451223373
878	0.1450778213
879	0.1450282613
880	0.1449666815
881	0.1449126869
882	0.144900834
883	0.1448555802
884	0.1448106871
885	0.1447648325
886	0.1447370173
887	0.144699699
888	0.144673745
889	0.1446082914
890	0.1445798942
891	0.1445434254
892	0.1444288605
893	0.1443689888
894	0.144312579
895	0.1442750881
896	0.1442284687
897	0.1441975424
898	0.144150491
899	0.1441138331
900	0.1440830701
901	0.1440556936
902	0.1439954643
903	0.1439748695
904	0.1439533247
905	0.1439129418
906	0.143847853
907	0.1438050335
908	0.1437401451
909	0.1436995534
910	0.1436591123
911	0.143636658
912	0.1435794309
913	0.1435395225
914	0.1434895211
915	0.1434508617
916	0.1434020017
917	0.1433718275
918	0.1432658628
919	0.1432291978
920	0.1432028494
921	0.1431795106
922	0.143143871
923	0.1431073667
924	0.1430676186
925	0.1430369968
926	0.1429731697
927	0.142926751
928	0.1428909487
929	0.1428669422
930	0.1428196901
931	0.1428000819
932	0.142761547
933	0.142738846
934	0.1427073574
935	0.1426664916
936	0.1426250579
937	0.1426103802
938	0.1425798345
939	0.1425431543
940	0.1424874334
941	0.1424623197
942	0.1424070746
943	0.1423857789
944	0.1423398081
945	0.1422999934
946	0.1422542606
947	0.1422109409
948	0.1421273595
949	0.1420818623
950	0.1420492781
951	0.1419911896
952	0.1419584593
953	0.1419169043
954	0.141863231
955	0.1418164884
956	0.1417840397
957	0.1417539294
958	0.1417181806
959	0.1416702038
960	0.1416168034
961	0.1415892922
962	0.1415621656
963	0.1415274747
964	0.1414923953
965	0.1414423909
966	0.141409543
967	0.141373377
968	0.1413469091
969	0.1413277735
970	0.1413082868
971	0.1412403843
972	0.1412145035
973	0.1411832241
974	0.1411138594
975	0.1410686408
976	0.1409969958
977	0.1409590024
978	0.1409366967
979	0.1408812073
980	0.1408368574
981	0.1407890221
982	0.1407260505
983	0.1406748939
984	0.140632148
985	0.140603414
986	0.1405700203
987	0.1405138784
988	0.1404249716
989	0.1403865622
990	0.14033375
991	0.1402844913
992	0.1402632619
993	0.1402420916
994	0.1402073359
995	0.1401700695
996	0.140128465
997	0.1400927409
998	0.1400421862
999	0.1399963158
22
4609036
